wavelengthmicrons,Reindex,Imindex
30,2.40604,6.08401
29.9,2.3033,6.05681
29.8,2.20535,6.0242
29.7,2.11225,5.98686
29.6,2.02403,5.94545
29.5,1.94063,5.90055
29.4,1.86195,5.85267
29.3,1.78787,5.80229
29.2,1.71823,5.7498
29.1,1.65286,5.69558
29,1.59157,5.63994
28.9,1.53419,5.58314
28.8,1.48052,5.52542
28.7,1.4304,5.46697
28.6,1.38366,5.40797
28.5,1.34011,5.34855
28.4,1.29962,5.28885
28.3,1.26203,5.22895
28.2,1.22722,5.16895
28.1,1.19506,5.10891
28,1.16544,5.04889
27.931,1.14645,5.00753
27.9,1.13827,4.98893
27.8,1.11345,4.92909
27.7,1.09091,4.86939
27.6,1.07059,4.80985
27.5,1.05243,4.75051
27.4,1.0364,4.69139
27.3,1.02247,4.63251
27.2,1.01062,4.57389
27.1,1.00085,4.51556
27,0.993157,4.45755
26.9,0.987565,4.39991
26.8,0.984101,4.34268
26.7,0.982806,4.28592
26.6,0.983729,4.2297
26.5,0.986929,4.17413
26.4,0.992471,4.1193
26.3,1.00043,4.06537
26.2,1.01087,4.01251
26.129,1.01982,3.97575
26.1,1.02386,3.96092
26,1.03946,3.91085
25.9,1.05771,3.86259
25.8,1.07861,3.81649
25.7,1.10213,3.77293
25.6,1.12816,3.73236
25.5,1.15651,3.69525
25.4,1.18691,3.66212
25.3,1.21894,3.6335
25.2,1.25204,3.60989
25.1,1.28549,3.59173
25,1.31841,3.57937
24.9,1.34977,3.57299
24.8,1.37842,3.57256
24.7,1.40315,3.57778
24.6,1.42274,3.58803
24.5455,1.43086,3.59542
24.5,1.43609,3.60239
24.4,1.44229,3.61964
24.3,1.4407,3.63831
24.2,1.43109,3.65677
24.1,1.41361,3.67336
24,1.38882,3.68652
23.9,1.35764,3.69488
23.8,1.32126,3.69736
23.7,1.28104,3.69325
23.6,1.23837,3.68219
23.5,1.19459,3.66412
23.4,1.15091,3.63929
23.3,1.10837,3.6081
23.2,1.06783,3.5711
23.1429,1.04581,3.54758
23.1,1.02993,3.5289
23,0.995186,3.48213
22.9,0.963949,3.43137
22.8,0.936481,3.3772
22.7,0.912968,3.3201
22.6,0.893555,3.26055
22.5,0.87837,3.19893
22.4,0.867548,3.13563
22.3,0.861245,3.07101
22.2,0.859657,3.00544
22.1,0.863021,2.93936
22,0.871615,2.8733
21.9,0.885731,2.80794
21.8919,0.887126,2.8027
21.8,0.905619,2.74421
21.7,0.931359,2.68337
21.6,0.96263,2.62705
21.5,0.998329,2.57723
21.4,1.03604,2.53582
21.3,1.07158,2.50369
21.2,1.09941,2.47894
21.1,1.11485,2.45511
21,1.11844,2.42194
20.9,1.11877,2.37052
20.8,1.12933,2.2997
20.7692,1.13653,2.27501
20.7,1.16134,2.21698
20.6,1.21948,2.134
20.5,1.30235,2.06182
20.4,1.40481,2.00885
20.3,1.52,1.98054
20.2,1.64055,1.9798
20.1,1.75918,2.00767
20,1.86879,2.06377
19.9,1.96216,2.14642
19.8,2.03193,2.25227
19.7561,2.05321,2.30471
19.7,2.07085,2.37561
19.6,2.0729,2.50774
19.5,2.03504,2.63716
19.4,1.95892,2.75098
19.3,1.85151,2.83761
19.2,1.7238,2.88946
19.1,1.58808,2.90426
19,1.45518,2.88443
18.9,1.33291,2.83523
18.8372,1.26374,2.7921
18.8,1.22587,2.76282
18.7,1.13614,2.67289
18.6,1.06424,2.57006
18.5,1.00992,2.45779
18.4,0.972775,2.3385
18.3,0.952607,2.21393
18.2,0.949703,2.08537
18.1,0.964958,1.95412
18,0.999887,1.8219
18,0.999887,1.8219
17.9,1.05642,1.69138
17.8,1.13628,1.56669
17.7,1.23996,1.45343
17.6,1.36568,1.35783
17.5,1.50924,1.28516
17.4,1.66527,1.23859
17.3,1.82874,1.21935
17.234,1.9387,1.22182
17.2,1.99576,1.22787
17.1,2.16326,1.26495
17,2.32824,1.33241
16.9,2.48652,1.43335
16.8,2.63129,1.57174
16.7,2.75129,1.75089
16.6,2.82948,1.96993
16.5306,2.84788,2.14007
16.5,2.84451,2.21765
16.4,2.77912,2.46649
16.3,2.63581,2.67569
16.2,2.44644,2.81127
16.1,2.25868,2.86938
16,2.1074,2.87782
15.9,1.99787,2.87519
15.8824,1.98161,2.8759
15.8,1.91035,2.88766
15.7,1.81782,2.91826
15.6,1.70333,2.95196
15.5,1.56656,2.96976
15.4,1.41848,2.96007
15.3,1.27213,2.92138
15.283,1.2482,2.91222
15.2,1.13681,2.85855
15.1,1.017,2.77848
15,0.9136,2.68738
14.9,0.825617,2.58995
14.8,0.75125,2.48934
14.7273,0.704601,2.41535
14.7,0.688551,2.38755
14.6,0.635723,2.28572
14.5,0.591221,2.18445
14.4,0.553776,2.08397
14.3,0.52237,1.98427
14.2105,0.498739,1.8956
14.2,0.496214,1.88519
14.1,0.47471,1.78646
14,0.457442,1.68773
13.9,0.444156,1.58859
13.8,0.434772,1.48856
13.7288,0.43052,1.41652
13.7,0.429398,1.38711
13.6,0.428381,1.28365
13.5,0.432392,1.17756
13.4,0.442566,1.06822
13.3,0.460718,0.955221
13.2787,0.46586,0.930668
13.2,0.489591,0.838816
13.1,0.53282,0.720914
13,0.59369,0.606488
12.9,0.671861,0.503421
12.8571,0.709296,0.464523
12.8,0.761249,0.4182
12.7,0.85363,0.351707
12.6,0.943344,0.300698
12.5,1.02794,0.261199
12.4615,1.05895,0.248364
12.4,1.10683,0.230017
12.3,1.18023,0.204893
12.2,1.24862,0.184268
12.1,1.31252,0.167065
12.0896,1.31896,0.165432
12,1.37244,0.15252
11.9,1.4288,0.140083
11.8,1.482,0.129347
11.7391,1.51297,0.12351
11.7,1.53235,0.120003
11.6,1.58014,0.111817
11.5,1.62561,0.104602
11.4085,1.66539,0.0987229
11.4,1.66898,0.0982118
11.3,1.71042,0.092529
11.2,1.75009,0.0874572
11.1,1.78814,0.0829173
11.0959,1.78967,0.0827411
11,1.82469,0.0788434
10.9,1.85984,0.0751806
10.8,1.8937,0.0718823
10.8,1.8937,0.0718823
10.7,1.92636,0.0689089
10.6,1.95788,0.0662266
10.5195,1.98248,0.0642585
10.5,1.98834,0.0638063
10.4,2.01781,0.0616226
10.3,2.04634,0.0596536
10.2532,2.05939,0.0587997
10.2,2.07398,0.0578802
10.1,2.10079,0.0562855
10,2.1268,0.0548547
10,2.1268,0.0548547
9.9,2.15206,0.0535748
9.8,2.1766,0.0524341
9.75904,2.18646,0.0520047
9.7,2.20047,0.0514225
9.6,2.22368,0.0505306
9.52941,2.23969,0.0499686
9.5,2.24627,0.0497503
9.4,2.26827,0.0490743
9.31034,2.28751,0.0485515
9.3,2.2897,0.0484961
9.2,2.31059,0.0480097
9.10112,2.33072,0.047614
9.1,2.33095,0.0476099
9,2.35081,0.047292
8.9011,2.36997,0.0470539
8.9,2.37018,0.0470517
8.8,2.38909,0.0468851
8.70968,2.40578,0.0467952
8.7,2.40755,0.0467889
8.6,2.42558,0.0467599
8.52632,2.43859,0.0467799
8.5,2.44319,0.0467954
8.4,2.46039,0.0468929
8.35052,2.46876,0.0469634
8.3,2.47721,0.0470502
8.2,2.49365,0.0472654
8.18182,2.4966,0.0473106
8.1,2.50972,0.0475367
8.0198,2.52235,0.0477938
8,2.52543,0.0478626
7.9,2.54081,0.0482419
7.86408,2.54625,0.0483909
7.8,2.55585,0.0486733
7.71429,2.56848,0.049084
7.7,2.57056,0.0491561
7.6,2.58496,0.0496893
7.57009,2.58921,0.0498585
7.5,2.59905,0.0502724
7.43119,2.60858,0.0507024
7.4,2.61285,0.050905
7.3,2.62636,0.0515867
7.2973,2.62672,0.0516058
7.2,2.63958,0.0523175
7.16814,2.64374,0.0525605
7.1,2.65253,0.0530972
7.04348,2.65973,0.0535596
