wavelengthmicrons,Reindex,Imindex
30,15.6206,18.5761
29.9,15.5873,18.5459
29.8,15.554,18.5157
29.7,15.5206,18.4854
29.6,15.4871,18.455
29.5,15.4536,18.4245
29.4,15.42,18.394
29.3,15.3864,18.3634
29.2,15.3527,18.3327
29.1,15.319,18.302
29,15.2852,18.2712
28.9,15.2514,18.2403
28.8,15.2174,18.2094
28.7,15.1835,18.1784
28.6,15.1495,18.1473
28.5,15.1154,18.1162
28.4,15.0812,18.085
28.3,15.047,18.0537
28.2,15.0128,18.0223
28.1,14.9785,17.9908
28,14.9441,17.9593
27.931,14.9203,17.9376
27.9,14.9097,17.9277
27.8,14.8752,17.8961
27.7,14.8406,17.8643
27.6,14.806,17.8325
27.5,14.7713,17.8006
27.4,14.7366,17.7687
27.3,14.7018,17.7366
27.2,14.6669,17.7045
27.1,14.632,17.6723
27,14.5971,17.64
26.9,14.562,17.6077
26.8,14.5269,17.5753
26.7,14.4918,17.5427
26.6,14.4565,17.5101
26.5,14.4213,17.4775
26.4,14.3859,17.4447
26.3,14.3505,17.4119
26.2,14.315,17.3789
26.129,14.2898,17.3555
26.1,14.2795,17.3459
26,14.2439,17.3128
25.9,14.2083,17.2797
25.8,14.1725,17.2464
25.7,14.1367,17.2131
25.6,14.1009,17.1796
25.5,14.065,17.1461
25.4,14.029,17.1125
25.3,13.993,17.0788
25.2,13.9569,17.045
25.1,13.9207,17.0112
25,13.8845,16.9772
24.9,13.8482,16.9432
24.8,13.8118,16.909
24.7,13.7754,16.8748
24.6,13.7389,16.8405
24.5455,13.719,16.8217
24.5,13.7023,16.8061
24.4,13.6657,16.7716
24.3,13.629,16.737
24.2,13.5923,16.7023
24.1,13.5555,16.6675
24,13.5186,16.6326
23.9,13.4816,16.5976
23.8,13.4446,16.5625
23.7,13.4075,16.5274
23.6,13.3704,16.4921
23.5,13.3332,16.4567
23.4,13.2959,16.4213
23.3,13.2585,16.3857
23.2,13.2211,16.35
23.1429,13.1997,16.3296
23.1,13.1836,16.3142
23,13.1461,16.2784
22.9,13.1085,16.2424
22.8,13.0708,16.2063
22.7,13.033,16.1701
22.6,12.9952,16.1339
22.5,12.9573,16.0975
22.4,12.9194,16.061
22.3,12.8813,16.0244
22.2,12.8433,15.9877
22.1,12.8051,15.9508
22,12.7669,15.9139
21.9,12.7286,15.8769
21.8919,12.7255,15.8739
21.8,12.6902,15.8397
21.7,12.6518,15.8025
21.6,12.6133,15.7651
21.5,12.5747,15.7276
21.4,12.5361,15.69
21.3,12.4974,15.6523
21.2,12.4586,15.6145
21.1,12.4198,15.5766
21,12.3809,15.5385
20.9,12.3419,15.5004
20.8,12.3029,15.4621
20.7692,12.2908,15.4503
20.7,12.2638,15.4237
20.6,12.2246,15.3852
20.5,12.1853,15.3466
20.4,12.146,15.3078
20.3,12.1066,15.269
20.2,12.0672,15.23
20.1,12.0277,15.1909
20,11.9881,15.1516
19.9,11.9485,15.1123
19.8,11.9087,15.0728
19.7561,11.8913,15.0554
19.7,11.869,15.0332
19.6,11.8291,14.9935
19.5,11.7892,14.9537
19.4,11.7492,14.9137
19.3,11.7092,14.8736
19.2,11.669,14.8334
19.1,11.6289,14.793
19,11.5886,14.7526
18.9,11.5483,14.712
18.8372,11.523,14.6864
18.8,11.5079,14.6712
18.7,11.4675,14.6304
18.6,11.427,14.5894
18.5,11.3864,14.5483
18.4,11.3458,14.5071
18.3,11.3051,14.4657
18.2,11.2643,14.4242
18.1,11.2235,14.3826
18,11.1826,14.3408
18,11.1826,14.3408
17.9,11.1416,14.299
17.8,11.1006,14.257
17.7,11.0595,14.2148
17.6,11.0184,14.1726
17.5,10.9772,14.1302
17.4,10.9359,14.0876
17.3,10.8946,14.045
17.234,10.8673,14.0168
17.2,10.8532,14.0022
17.1,10.8118,13.9593
17,10.7702,13.9163
16.9,10.7287,13.8731
16.8,10.6871,13.8298
16.7,10.6454,13.7864
16.6,10.6036,13.7429
16.5306,10.5746,13.7126
16.5,10.5618,13.6992
16.4,10.5199,13.6554
16.3,10.478,13.6115
16.2,10.436,13.5675
16.1,10.394,13.5234
16,10.3519,13.4791
15.9,10.3097,13.4347
15.8824,10.3023,13.4269
15.8,10.2675,13.3903
15.7,10.2253,13.3457
15.6,10.1829,13.301
15.5,10.1405,13.2562
15.4,10.0981,13.2112
15.3,10.0555,13.1662
15.283,10.0483,13.1586
15.2,10.013,13.1211
15.1,9.97032,13.0759
15,9.92761,13.0306
14.9,9.88483,12.9852
14.8,9.84198,12.9398
14.7273,9.81078,12.9067
14.7,9.79907,12.8942
14.6,9.75608,12.8486
14.5,9.71301,12.8029
14.4,9.66987,12.7572
14.3,9.62664,12.7114
14.2105,9.58789,12.6703
14.2,9.58333,12.6655
14.1,9.53992,12.6196
14,9.49642,12.5736
13.9,9.45281,12.5277
13.8,9.4091,12.4816
13.7288,9.37791,12.4489
13.7,9.36527,12.4356
13.6,9.32131,12.3895
13.5,9.27722,12.3435
13.4,9.23298,12.2974
13.3,9.18859,12.2513
13.2787,9.1791,12.2415
13.2,9.14402,12.2052
13.1,9.09928,12.1592
13,9.05434,12.1132
12.9,9.00919,12.0672
12.8571,8.98977,12.0475
12.8,8.9638,12.0212
12.7,8.91817,11.9752
12.6,8.87227,11.9293
12.5,8.82607,11.8835
12.4615,8.80822,11.8659
12.4,8.77956,11.8377
12.3,8.7327,11.7919
12.2,8.68548,11.7461
12.1,8.63787,11.7004
12.0896,8.63287,11.6956
12,8.58982,11.6547
11.9,8.54133,11.609
11.8,8.49235,11.5633
11.7391,8.46228,11.5355
11.7,8.44285,11.5176
11.6,8.3928,11.4718
11.5,8.34218,11.426
11.4085,8.2953,11.384
11.4,8.29094,11.3801
11.3,8.23907,11.3341
11.2,8.18653,11.2879
11.1,8.13331,11.2414
11.0959,8.13111,11.2395
11,8.07937,11.1948
10.9,8.02471,11.1478
10.8,7.96931,11.1005
10.8,7.96931,11.1005
10.7,7.91315,11.0528
10.6,7.85625,11.0047
10.5195,7.8099,10.9655
10.5,7.79861,10.956
10.4,7.74023,10.9068
10.3,7.68114,10.8569
10.2532,7.65322,10.8333
10.2,7.62135,10.8064
10.1,7.56089,10.7551
10,7.49981,10.7031
10,7.49981,10.7031
9.9,7.43814,10.6502
9.8,7.37593,10.5965
9.75904,7.3503,10.5742
9.7,7.31323,10.5418
9.6,7.25009,10.4863
9.52941,7.20529,10.4465
9.5,7.18657,10.4298
9.4,7.12271,10.3724
9.31034,7.06522,10.3201
9.3,7.05857,10.314
9.2,6.99422,10.2546
9.10112,6.93041,10.1951
9.1,6.92968,10.1944
9,6.86502,10.1332
8.9011,6.80099,10.0717
8.9,6.80028,10.0711
8.8,6.73549,10.0081
8.70968,6.67696,9.95043
8.7,6.67069,9.94421
8.6,6.6059,9.87953
8.52632,6.55819,9.83136
8.5,6.54115,9.81406
8.4,6.47646,9.74782
8.35052,6.44447,9.71476
8.3,6.41183,9.68084
8.2,6.34729,9.61318
8.18182,6.33556,9.6008
8.1,6.28281,9.54484
8.0198,6.23116,9.48958
8,6.21842,9.47588
7.9,6.15409,9.4063
7.86408,6.131,9.38117
7.8,6.08982,9.33615
7.71429,6.03477,9.27558
7.7,6.0256,9.26544
7.6,5.96141,9.19421
7.57009,5.94222,9.1728
7.5,5.89724,9.12245
7.43119,5.85307,9.07279
7.4,5.83305,9.0502
7.3,5.76883,8.97747
7.2973,5.7671,8.9755
7.2,5.70456,8.90427
7.16814,5.68407,8.88085
7.1,5.64021,8.8306
7.04348,5.60379,8.78875
7,5.57575,8.75647
6.92308,5.52607,8.69914
6.9,5.51115,8.68188
6.80672,5.45076,8.6119
6.8,5.4464,8.60684
6.7,5.38145,8.53134
6.69421,5.37768,8.52696
6.6,5.31627,8.45537
6.58537,5.30672,8.44422
6.5,5.25085,8.37893
6.48,5.23774,8.36359
6.4,5.18515,8.30201
6.37795,5.17062,8.28498
6.3,5.11913,8.22459
6.27907,5.10527,8.20832
6.2,5.05278,8.14666
6.18321,5.0416,8.13352
6.1,4.98604,8.0682
6.09023,4.9795,8.0605
6,4.91891,7.98918
6,4.91891,7.98918
5.91241,4.85975,7.91951
5.9,4.85134,7.9096
5.82734,4.80195,7.8514
5.8,4.7833,7.82942
5.74468,4.74545,7.7848
5.7,4.71476,7.74861
5.66434,4.69019,7.71963
5.6,4.6457,7.66715
5.58621,4.63613,7.65586
5.5102,4.5832,7.59341
5.5,4.57606,7.58499
5.43624,4.53136,7.53223
5.4,4.50584,7.50211
5.36424,4.48057,7.47229
5.3,4.43499,7.41846
5.29412,4.4308,7.41352
5.22581,4.38199,7.35588
5.2,4.36347,7.334
5.15924,4.33412,7.29933
5.1,4.29126,7.24869
5.09434,4.28715,7.24383
5.03106,4.24106,7.18934
5,4.21833,7.16246
4.96933,4.19581,7.13582
4.90909,4.15137,7.08324
4.9,4.14464,7.07527
4.8503,4.10772,7.03157
4.8,4.07015,6.98706
4.7929,4.06483,6.98076
4.73684,4.02268,6.9308
4.7,3.99484,6.89777
4.68208,3.98125,6.88165
4.62857,3.94052,6.83328
4.6,3.91866,6.80731
4.57627,3.90046,6.78567
